country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Chad,Barh El Gazel,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Barh El Gazel,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560780
Chad,Batha,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Batha,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Batha,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Batha,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,September,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560781
Chad,Borkou,October,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Borkou,August,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560781
Chad,Chari Baguirmi,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Chari Baguirmi,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560781
Chad,Chari Baguirmi,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Chari Baguirmi,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560782
Chad,Ennedi Ouest,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Ennedi Ouest,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Ennedi Ouest,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Ennedi Ouest,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Ennedi Ouest,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Ennedi Ouest,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Ennedi Ouest,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Ennedi Ouest,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Ennedi Ouest,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,March,2023,2,2,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,April,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560783
Chad,Guera,May,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,June,2023,0,0,0,0,3.0,1.0,0.0,2.0,1728560783
Chad,Guera,July,2023,2,1,0,1,2.0,0.0,0.0,2.0,1728560783
Chad,Guera,August,2023,2,1,0,1,1.0,1.0,0.0,0.0,1728560783
Chad,Guera,September,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560783
Chad,Guera,January,2024,2,1,0,1,1.0,1.0,0.0,0.0,1728560783
Chad,Guera,February,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560783
Chad,Guera,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Guera,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560783
Chad,Hadjer-Lamis,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,July,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,August,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,January,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,February,2024,1,1,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Hadjer-Lamis,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560784
Chad,Kanem,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Kanem,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,March,2023,2,0,0,2,1.0,1.0,0.0,0.0,1728560785
Chad,Lac,April,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560785
Chad,Lac,August,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560785
Chad,Lac,February,2024,1,0,0,1,1.0,1.0,0.0,0.0,1728560785
Chad,Lac,March,2024,2,1,0,1,1.0,0.0,1.0,0.0,1728560785
Chad,Lac,April,2024,1,0,1,0,1.0,0.0,0.0,1.0,1728560785
Chad,Lac,May,2024,1,0,0,1,1.0,1.0,0.0,0.0,1728560785
Chad,Lac,June,2024,1,1,0,0,3.0,3.0,0.0,0.0,1728560785
Chad,Lac,July,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560785
Chad,Lac,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560785
Chad,Logone Occidental,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,May,2023,0,0,0,0,4.0,0.0,0.0,4.0,1728560786
Chad,Logone Occidental,June,2023,3,1,0,2,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,August,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560786
Chad,Logone Occidental,September,2023,2,0,0,2,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Occidental,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Oriental,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Oriental,April,2023,0,0,0,0,6.0,2.0,0.0,4.0,1728560786
Chad,Logone Oriental,May,2023,4,2,0,2,5.0,1.0,0.0,4.0,1728560786
Chad,Logone Oriental,June,2023,4,1,0,3,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Oriental,July,2023,1,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Oriental,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560786
Chad,Logone Oriental,September,2023,2,0,0,2,2.0,1.0,0.0,1.0,1728560786
Chad,Logone Oriental,October,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Oriental,November,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560786
Chad,Logone Oriental,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Oriental,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560786
Chad,Logone Oriental,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Logone Oriental,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Logone Oriental,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Logone Oriental,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560787
Chad,Logone Oriental,June,2024,1,0,0,1,1.0,0.0,0.0,1.0,1728560787
Chad,Logone Oriental,July,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560787
Chad,Logone Oriental,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560787
Chad,Mandoul,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,August,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560787
Chad,Mandoul,September,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mandoul,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560787
Chad,Mayo Kebbi Est,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,March,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560788
Chad,Mayo Kebbi Est,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Est,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560788
Chad,Mayo Kebbi Ouest,March,2023,0,0,0,0,1.0,1.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,April,2023,1,1,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,August,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560789
Chad,Mayo Kebbi Ouest,September,2023,1,0,0,1,3.0,0.0,0.0,3.0,1728560789
Chad,Mayo Kebbi Ouest,October,2023,1,0,0,1,1.0,0.0,0.0,1.0,1728560789
Chad,Mayo Kebbi Ouest,November,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,December,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560789
Chad,Mayo Kebbi Ouest,January,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,March,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,April,2024,1,1,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Mayo Kebbi Ouest,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Moyen-Chari,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Moyen-Chari,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Moyen-Chari,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Moyen-Chari,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Moyen-Chari,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560789
Chad,Moyen-Chari,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,February,2024,0,0,0,0,1.0,1.0,0.0,0.0,1728560790
Chad,Moyen-Chari,March,2024,2,1,0,1,8.0,7.0,0.0,1.0,1728560790
Chad,Moyen-Chari,April,2024,6,5,0,1,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Moyen-Chari,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,March,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560790
Chad,Ndjamena,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560790
Chad,Ndjamena,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560790
Chad,Ndjamena,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560790
Chad,Ndjamena,February,2024,1,0,0,1,4.0,2.0,0.0,2.0,1728560790
Chad,Ndjamena,March,2024,3,2,0,1,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,April,2024,0,0,0,0,1.0,0.0,0.0,1.0,1728560790
Chad,Ndjamena,May,2024,1,0,0,1,1.0,0.0,0.0,1.0,1728560790
Chad,Ndjamena,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Ndjamena,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560790
Chad,Ouaddai,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1728560791
Chad,Ouaddai,June,2023,2,1,0,1,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,August,2023,0,0,0,0,2.0,0.0,0.0,2.0,1728560791
Chad,Ouaddai,September,2023,1,0,0,1,2.0,0.0,0.0,2.0,1728560791
Chad,Ouaddai,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,March,2024,0,0,0,0,5.0,4.0,0.0,1.0,1728560791
Chad,Ouaddai,April,2024,3,2,0,1,0.0,0.0,0.0,0.0,1728560791
Chad,Ouaddai,May,2024,0,0,0,0,2.0,1.0,0.0,1.0,1728560791
Chad,Ouaddai,June,2024,2,1,0,1,0.0,0.0,0.0,0.0,1728560791
